Lot URL,Lot/Inv #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Grid/Row,Title Code,Category,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name,Repair Estimate
https://www.copart.fi/lotDetail/50558824,50558824,0 EUR,02.10.2025 10:30 GMT+3,2022,19,Focus,Combustion,,WF0PXXGCHPNB04611,,,,"176,138 ",,Front End,"8,500 EUR",0 EUR,125,Pirkkala,0 EUR
https://www.copart.fi/lotDetail/50558885,50558885,0 EUR,02.10.2025 10:30 GMT+3,2010,42,3008,Combustion,,VF30U9HZHAS127732,,,,"334,433 ",,Side,550 EUR,0 EUR,127,Pirkkala,0 EUR
https://www.copart.fi/lotDetail/50556460,50556460,0 EUR,02.10.2025 10:30 GMT+3,2008,37,E,Combustion,,WDB2110071B351988,,,,"270,707 ",,Front End,325 EUR,0 EUR,128,Jyväskylä,0 EUR
https://www.copart.fi/lotDetail/50555246,50555246,0 EUR,02.10.2025 10:30 GMT+3,2006,41,Zafira,Combustion,,W0L0AHM7552224685,,,,"262,585 ",,Rear End,225 EUR,0 EUR,129,Jyväskylä,0 EUR
https://www.copart.fi/lotDetail/50552702,50552702,0 EUR,02.10.2025 10:30 GMT+3,2004,19,Mondeo,Combustion,,WF04XXGBB43M38185,,,,"294,273 ",,All Over,90 EUR,0 EUR,130,Espoo,0 EUR
https://www.copart.fi/lotDetail/50556423,50556423,0 EUR,02.10.2025 10:30 GMT+3,2001,59,S60,Combustion,,YV1RS65P212074504,,,,"213,093 ",,Side,100 EUR,0 EUR,131,Jyväskylä,0 EUR
https://www.copart.fi/lotDetail/50555377,50555377,0 EUR,02.10.2025 10:30 GMT+3,2008,58,Passat,Combustion,,WVWZZZ3CZ8E195497,,,,"410,300 ",,Animal Damage,90 EUR,0 EUR,132,Sastamala,0 EUR
https://www.copart.fi/lotDetail/50559028,50559028,0 EUR,02.10.2025 10:30 GMT+3,2008,56,Prius,Combustion,,JTDKB20U803381323,,,,"345,586 ",,Vandalism,"2,100 EUR",0 EUR,133,Espoo,0 EUR
https://www.copart.fi/lotDetail/50559029,50559029,0 EUR,02.10.2025 10:30 GMT+3,2009,5,300,Combustion,,WBAUY91080A164424,,,,"365,920 ",,Front End,"1,250 EUR",0 EUR,134,Espoo,0 EUR
https://www.copart.fi/lotDetail/50558829,50558829,0 EUR,02.10.2025 10:30 GMT+3,2024,1100400,E-GO Skootteri,Electric,,2312W758660V20A39,,,,,,Vandalism,70 EUR,0 EUR,135,Espoo,0 EUR
https://www.copart.fi/lotDetail/50548743,50548743,0 EUR,03.10.2025 10:30 GMT+3,2021,1100400,NTM Vaihtolavaperävaunu,None,,YF3RTPC04M1024616,,,,1 ,,Normal Wear,"2,050 EUR",0 EUR,5,MUUALLA,0 EUR
